student_id,math,reading,writing
497,54,48,52
498,59,78,76
499,66,69,68
500,76,71,72
501,74,79,82
502,94,87,92
503,63,61,54
504,95,89,92
505,40,59,54
506,82,82,80
507,68,70,66
508,55,59,54
509,79,78,77
510,86,92,87
511,76,71,73
512,64,50,43
513,62,49,52
514,54,61,62
515,77,97,94
516,76,87,85
517,74,89,84
518,66,74,73
519,66,78,78
520,67,78,79
521,71,49,52
522,91,86,84
523,69,58,57
524,54,59,50
525,53,52,49
526,68,60,59
527,56,61,60
528,36,53,43
529,29,41,47
530,62,74,70
531,68,67,73
532,47,54,53
533,62,61,58
534,79,88,94
535,73,69,68
536,66,83,83
537,51,60,58
538,51,66,62
539,85,66,71
540,97,92,86
541,75,69,68
542,79,82,80
543,81,77,79
544,82,95,89
545,64,63,66
546,78,83,80
547,92,100,97
548,72,67,64
549,62,67,64
550,79,72,69
551,79,76,65
552,87,90,88
553,40,48,50
554,77,62,64
555,53,45,40
556,32,39,33
557,55,72,79
558,61,67,66
559,53,70,70
560,73,66,62
561,74,75,79
562,63,74,74
563,96,90,92
564,63,80,80
565,48,51,46
566,48,43,45
567,92,100,100
568,61,71,78
569,63,48,47
570,68,68,67
571,71,75,70
572,91,96,92
573,53,62,56
574,50,66,64
575,74,81,71
576,40,55,53
577,61,51,52
578,81,91,89
579,48,56,58
580,53,61,68
581,81,97,96
582,77,79,80
583,63,73,78
584,73,75,80
585,69,77,77
586,65,76,76
587,55,73,73
588,44,63,62
589,54,64,65
590,48,66,65
591,58,57,54
592,71,62,50
593,68,68,64
594,74,76,73
595,92,100,99
596,56,79,72
597,30,24,15
598,53,54,48
599,69,77,73
600,65,82,81
601,54,60,63
602,29,29,30
603,76,78,80
604,60,57,51
605,84,89,90
606,75,72,62
607,85,84,82
608,40,58,54
609,61,64,62
610,58,63,65
611,69,60,63
612,58,59,66
613,94,90,91
614,65,77,74
615,82,93,93
616,60,68,72
617,37,45,38
618,88,78,83
619,95,81,84
620,65,73,68
621,35,61,54
622,62,63,56
623,58,51,52
624,100,96,86
625,61,58,62
626,100,97,99
627,69,70,63
628,61,48,46
629,49,57,46
630,44,51,55
631,67,64,70
632,79,60,65
633,66,74,81
634,75,88,85
635,84,84,80
636,71,74,64
637,67,80,81
638,80,92,88
639,86,76,74
640,76,74,73
641,41,52,51
642,74,88,90
643,72,81,79
644,74,79,80
645,70,65,60
646,65,81,81
647,59,70,65
648,64,62,68
649,50,53,55
650,69,79,81
651,51,56,53
652,68,80,76
653,85,86,98
654,65,70,74
655,73,79,79
656,62,67,67
657,77,67,64
658,69,66,61
659,43,60,58
660,90,87,85
661,74,77,73
662,73,66,63
663,55,71,69
664,65,69,67
665,80,63,63
666,50,60,60
667,63,73,71
668,77,85,87
669,73,74,61
670,81,72,77
671,66,76,68
672,52,57,50
673,69,78,76
674,65,84,84
675,69,77,78
676,50,64,66
677,73,78,76
678,70,82,76
679,81,75,78
680,63,61,60
681,67,72,74
682,60,68,60
683,62,55,54
684,29,40,44
685,62,66,68
686,94,99,100
687,85,75,68
688,77,78,73
689,53,58,44
690,93,90,83
691,49,53,53
692,73,76,78
693,66,74,81
694,77,77,73
695,49,63,56
696,79,89,86
697,75,82,90
698,59,72,70
699,57,78,79
700,66,66,59
701,79,81,82
702,57,67,72
703,87,84,87
704,63,64,67
705,59,63,64
706,62,72,65
707,46,34,36
708,66,59,52
709,89,87,79
710,42,61,58
711,93,84,90
712,80,85,85
713,98,100,99
714,81,81,84
715,60,70,74
716,76,94,87
717,73,78,72
718,96,96,99
719,76,76,74
720,91,73,80
721,62,72,70
722,55,59,59
723,74,90,88
724,50,48,42
725,47,43,41
726,81,74,71
727,65,75,77
728,68,51,57
729,73,92,84
730,53,39,37
731,68,77,80
732,55,46,43
733,87,89,94
734,55,47,44
735,53,58,57
736,67,57,59
737,92,79,84
738,53,66,73
739,81,71,73
740,61,60,55
741,80,73,72
742,37,57,56
743,81,84,82
744,59,73,72
745,55,55,47
746,72,79,74
747,69,75,71
748,69,64,68
749,50,60,59
750,87,84,86
751,71,69,68
752,68,72,65
753,79,77,75
754,77,90,85
755,58,55,53
756,84,95,92
757,55,58,52
758,70,68,72
759,52,59,65
760,69,77,77
761,53,72,64
762,48,58,54
763,78,81,86
764,62,62,63
765,60,63,59
766,74,72,72
767,58,75,77
768,76,62,60
769,68,71,75
770,58,60,57
771,52,48,49
772,75,73,74
773,52,67,72
774,62,78,79
775,66,65,60
776,49,58,55
777,66,72,70
778,35,44,43
779,72,79,82
780,94,85,82
781,46,56,57
782,77,90,84
783,76,85,82
784,52,59,62
785,91,81,79
786,32,51,44
787,72,79,77
788,19,38,32
789,68,65,61
790,52,65,61
791,48,62,60
792,60,66,70
793,66,74,69
794,89,84,77
795,42,52,51
796,57,68,73
797,70,70,70
798,70,84,81
799,69,60,54
800,52,55,57
801,67,73,68
802,76,80,73
803,87,94,95
804,82,85,87
805,73,76,78
806,75,81,74
807,64,74,75
808,41,45,40
809,90,75,69
810,59,54,51
811,51,31,36
812,45,47,49
813,54,64,67
814,87,84,76
815,72,80,83
816,94,86,87
817,45,59,64
818,61,70,76
819,60,72,68
820,77,91,88
821,85,90,92
822,78,90,93
823,49,52,51
824,71,87,82
825,48,58,52
826,62,67,58
827,56,68,70
828,65,69,76
829,69,86,81
830,68,54,53
831,61,60,57
832,74,86,89
833,64,60,58
834,77,82,89
835,58,50,45
836,60,64,74
837,73,64,57
838,75,82,79
839,58,57,53
840,66,77,73
841,39,52,46
842,64,58,51
843,23,44,36
844,74,77,76
845,40,65,64
846,90,85,84
847,91,85,85
848,64,54,50
849,59,72,68
850,80,75,69
851,71,67,67
852,61,68,63
853,87,85,93
854,82,67,61
855,62,64,55
856,97,97,96
857,75,68,65
858,65,79,81
859,52,49,46
860,87,73,72
861,53,62,53
862,81,86,87
863,39,42,38
864,71,71,80
865,97,93,91
866,82,82,88
867,59,53,52
868,61,42,41
869,78,74,72
870,49,51,51
871,59,58,47
872,70,72,76
873,82,84,78
874,90,90,82
875,43,62,61
876,80,64,66
877,81,82,84
878,57,61,54
879,59,72,80
880,64,76,74
881,63,64,66
882,71,70,70
883,64,73,71
884,55,46,44
885,51,51,54
886,62,76,80
887,93,100,95
888,54,72,59
889,69,65,74
890,44,51,48
891,86,85,91
892,85,92,85
893,50,67,73
894,88,74,75
895,59,62,69
896,32,34,38
897,36,29,27
898,63,78,79
899,67,54,63
900,65,78,82
901,85,84,89
902,73,78,74
903,34,48,41
904,93,100,100
905,67,84,84
906,88,77,77
907,57,48,51
908,79,84,91
909,67,75,72
910,70,64,70
911,50,42,48
912,69,84,82
913,52,61,66
914,47,62,66
915,46,61,55
916,68,70,66
917,100,100,100
918,44,61,52
919,57,77,80
920,91,96,91
921,69,70,67
922,35,53,46
923,72,66,66
924,54,65,65
925,74,70,69
926,74,64,60
927,64,56,52
928,65,61,71
929,46,43,44
930,48,56,51
931,67,74,70
932,62,57,62
933,61,71,73
934,70,75,74
935,98,87,90
936,70,63,58
937,67,57,53
938,57,58,57
939,85,81,85
940,77,68,69
941,72,66,72
942,78,91,96
943,81,66,64
944,61,62,61
945,58,68,61
946,54,61,58
947,82,82,80
948,49,58,60
949,49,50,52
950,57,75,73
951,94,73,71
952,75,77,83
953,74,74,72
954,58,52,54
955,62,69,69
956,72,57,62
957,84,87,81
958,92,100,100
959,45,63,59
960,75,81,71
961,56,58,64
962,48,54,53
963,100,100,100
964,65,76,75
965,72,57,58
966,62,70,72
967,66,68,64
968,63,63,60
969,68,76,67
970,75,84,80
971,89,100,100
972,78,72,69
973,53,50,60
974,49,65,61
975,54,63,67
976,64,82,77
977,60,62,60
978,62,65,58
979,55,41,48
980,91,95,94
981,8,24,23
982,81,78,78
983,79,85,86
984,78,87,91
985,74,75,82
986,57,51,54
987,40,59,51
988,81,75,76
989,44,45,45
990,67,86,83
991,86,81,75
992,65,82,78
993,55,76,76
994,62,72,74
995,63,63,62
996,88,99,95
997,62,55,55
998,59,71,65
999,68,78,77
1000,77,86,86
