student_id,gender,race,parent_edu,lunch,test_prep,math,reading,writing
81,female,group B,associate's degree,standard,none,47,49,50
82,male,group B,high school,free/reduced,none,49,45,45
84,male,group E,associate's degree,standard,none,72,64,63
85,male,group D,high school,free/reduced,none,42,39,34
86,female,group C,some college,standard,none,73,80,82
87,female,group C,some college,free/reduced,none,76,83,88
88,female,group D,associate's degree,standard,none,71,71,74
89,female,group A,some college,standard,none,58,70,67
90,female,group D,some high school,standard,none,73,86,82
91,female,group C,bachelor's degree,standard,none,65,72,74
92,male,group C,high school,free/reduced,none,27,34,36
93,male,group C,high school,standard,none,71,79,71
95,female,group B,some college,standard,none,79,86,92
99,female,group D,some college,free/reduced,none,58,67,62
100,female,group D,bachelor's degree,standard,none,65,67,62
101,male,group B,some college,standard,none,79,67,67
103,female,group D,associate's degree,standard,none,85,91,89
106,female,group C,some college,standard,none,58,67,72
107,female,group D,master's degree,standard,none,87,100,100
109,female,group B,associate's degree,free/reduced,none,52,76,70
110,female,group B,some high school,standard,none,70,64,72
112,male,group C,high school,standard,none,62,55,49
113,male,group A,associate's degree,standard,none,54,53,47
114,female,group D,some college,standard,none,51,58,54
116,male,group C,high school,standard,none,84,77,74
117,female,group B,bachelor's degree,free/reduced,none,75,85,82
118,female,group D,bachelor's degree,standard,none,78,82,79
119,female,group D,some high school,standard,none,51,63,61
120,female,group C,some college,standard,none,55,69,65
124,male,group D,high school,free/reduced,none,63,57,56
125,male,group E,some college,standard,none,83,80,73
126,female,group B,high school,standard,none,87,95,86
127,male,group B,some high school,standard,none,72,68,67
129,male,group D,master's degree,standard,none,82,82,74
130,female,group A,bachelor's degree,standard,none,51,49,51
131,male,group D,master's degree,standard,none,89,84,82
136,male,group C,bachelor's degree,standard,none,58,55,48
138,male,group E,high school,standard,none,70,55,56
139,female,group C,associate's degree,standard,none,59,66,67
141,female,group D,some high school,standard,none,76,72,71
142,female,group C,some college,free/reduced,none,59,62,64
144,male,group A,high school,standard,none,57,43,47
145,male,group D,some college,standard,none,88,73,78
146,female,group C,some college,free/reduced,none,22,39,33
147,male,group B,some high school,standard,none,88,84,75
148,male,group C,associate's degree,free/reduced,none,73,68,66
152,male,group A,bachelor's degree,standard,none,77,67,68
154,male,group D,bachelor's degree,standard,none,54,49,47
155,male,group D,some high school,standard,none,62,67,61
158,male,group B,some college,free/reduced,none,60,60,60
160,male,group D,associate's degree,free/reduced,none,66,62,64
163,male,group B,master's degree,free/reduced,none,49,53,52
164,male,group C,high school,standard,none,52,53,49
165,female,group E,master's degree,standard,none,81,92,91
172,male,group E,some high school,standard,none,94,88,78
173,female,group D,some college,standard,none,79,86,81
174,female,group C,associate's degree,standard,none,63,67,70
182,female,group C,some college,free/reduced,none,46,64,66
183,female,group E,high school,standard,none,50,50,47
184,female,group D,associate's degree,standard,none,65,69,70
187,male,group E,high school,standard,none,80,76,65
189,male,group B,some high school,free/reduced,none,48,52,45
190,female,group C,bachelor's degree,standard,none,77,88,87
191,female,group E,associate's degree,standard,none,66,65,69
193,female,group B,some high school,standard,none,62,64,66
196,male,group D,associate's degree,standard,none,61,55,52
198,male,group E,high school,free/reduced,none,55,56,51
199,female,group B,some college,free/reduced,none,45,53,55
200,female,group B,bachelor's degree,free/reduced,none,78,79,76
202,female,group D,some college,free/reduced,none,65,81,77
203,male,group C,associate's degree,standard,none,69,77,69
204,female,group B,associate's degree,standard,none,57,69,68
205,male,group C,some college,standard,none,59,41,42
207,male,group E,bachelor's degree,standard,none,82,62,62
209,female,group B,some college,free/reduced,none,74,81,76
210,female,group B,some college,free/reduced,none,58,61,66
212,male,group C,some college,free/reduced,none,35,28,27
213,female,group C,high school,free/reduced,none,42,62,60
218,female,group C,high school,free/reduced,none,34,42,39
219,male,group B,high school,free/reduced,none,66,77,70
222,male,group B,associate's degree,standard,none,87,85,73
223,female,group C,some high school,free/reduced,none,55,65,62
224,male,group D,some high school,standard,none,86,80,75
226,female,group E,master's degree,free/reduced,none,45,56,54
227,female,group C,some college,standard,none,72,72,71
228,male,group D,high school,standard,none,57,50,54
229,male,group A,some high school,free/reduced,none,68,72,64
231,male,group D,some college,standard,none,76,64,66
232,male,group C,associate's degree,standard,none,46,43,42
233,female,group B,bachelor's degree,standard,none,67,86,83
234,male,group E,some high school,standard,none,92,87,78
236,male,group D,associate's degree,standard,none,80,75,77
237,male,group D,bachelor's degree,free/reduced,none,63,66,67
239,male,group B,some college,standard,none,54,52,51
240,male,group C,associate's degree,standard,none,84,80,80
242,female,group E,bachelor's degree,standard,none,80,83,83
243,female,group D,high school,standard,none,56,52,55
244,male,group E,some college,standard,none,59,51,43
245,male,group D,some high school,standard,none,75,74,69
246,male,group C,associate's degree,standard,none,85,76,71
247,male,group E,associate's degree,standard,none,89,76,74
249,female,group B,high school,standard,none,65,64,62
250,male,group C,high school,standard,none,68,60,53
252,female,group D,some college,free/reduced,none,71,83,83
254,male,group D,master's degree,standard,none,80,80,72
255,male,group D,high school,standard,none,54,52,52
256,female,group E,some college,standard,none,62,73,70
257,female,group C,associate's degree,free/reduced,none,64,73,68
259,female,group B,some college,standard,none,70,75,78
263,female,group C,some high school,free/reduced,none,44,50,51
264,female,group E,high school,standard,none,99,93,90
265,male,group D,high school,standard,none,76,73,68
266,male,group D,some high school,free/reduced,none,59,42,41
267,female,group C,bachelor's degree,standard,none,63,75,81
268,female,group D,high school,standard,none,69,72,77
270,female,group E,some college,free/reduced,none,71,76,70
271,male,group C,bachelor's degree,standard,none,69,63,61
272,male,group C,some college,standard,none,58,49,42
273,female,group D,associate's degree,free/reduced,none,47,53,58
274,female,group D,some college,standard,none,65,70,71
276,male,group C,bachelor's degree,standard,none,83,78,73
279,female,group C,some high school,free/reduced,none,65,86,80
280,male,group B,bachelor's degree,free/reduced,none,73,56,57
281,male,group D,high school,standard,none,53,52,42
282,male,group D,high school,standard,none,45,48,46
283,female,group D,bachelor's degree,free/reduced,none,73,79,84
285,female,group B,some high school,standard,none,37,46,46
288,female,group B,some high school,standard,none,67,89,82
289,male,group B,bachelor's degree,free/reduced,none,88,75,76
291,male,group C,associate's degree,standard,none,76,70,68
292,male,group D,some high school,standard,none,86,73,70
294,female,group E,bachelor's degree,standard,none,65,73,75
296,male,group B,associate's degree,free/reduced,none,67,62,60
300,male,group D,associate's degree,free/reduced,none,90,87,75
302,male,group D,some high school,free/reduced,none,56,54,52
304,male,group B,associate's degree,standard,none,80,76,64
306,male,group A,some college,standard,none,69,67,69
308,male,group C,some high school,standard,none,51,52,44
309,female,group B,associate's degree,free/reduced,none,53,71,67
310,female,group D,high school,free/reduced,none,49,57,52
311,female,group B,associate's degree,standard,none,73,76,80
312,male,group B,bachelor's degree,standard,none,66,60,57
316,male,group C,high school,standard,none,71,66,65
318,male,group C,associate's degree,standard,none,83,72,78
319,male,group B,bachelor's degree,standard,none,63,71,69
320,female,group D,associate's degree,free/reduced,none,56,65,63
322,female,group E,high school,standard,none,75,86,79
323,female,group C,some college,standard,none,71,81,80
324,female,group C,some high school,free/reduced,none,43,53,53
325,female,group C,high school,free/reduced,none,41,46,43
326,female,group C,some college,standard,none,82,90,94
327,male,group C,some college,standard,none,61,61,62
328,male,group A,some college,free/reduced,none,28,23,19
330,female,group B,some high school,standard,none,41,55,51
331,male,group C,high school,standard,none,71,60,61
332,male,group C,associate's degree,standard,none,47,37,35
334,male,group B,associate's degree,standard,none,90,78,81
335,female,group C,bachelor's degree,standard,none,83,93,95
336,female,group B,some college,free/reduced,none,61,68,66
338,male,group C,associate's degree,standard,none,49,51,43
339,female,group B,some high school,free/reduced,none,24,38,27
341,male,group C,high school,free/reduced,none,58,61,52
342,female,group C,high school,standard,none,61,73,63
345,male,group D,some college,standard,none,79,73,67
346,female,group C,high school,standard,none,72,80,75
347,male,group B,some college,standard,none,62,61,57
349,male,group D,high school,free/reduced,none,75,74,66
350,male,group E,associate's degree,standard,none,87,74,76
351,female,group B,bachelor's degree,standard,none,52,65,69
352,male,group E,some college,standard,none,66,57,52
354,female,group C,associate's degree,standard,none,46,58,57
355,female,group C,some college,standard,none,59,71,70
356,female,group B,bachelor's degree,standard,none,61,72,70
357,male,group A,associate's degree,standard,none,63,61,61
359,male,group D,some college,free/reduced,none,59,62,61
360,female,group D,some college,standard,none,80,90,89
361,female,group B,high school,standard,none,58,62,59
363,female,group C,some college,standard,none,52,58,58
364,female,group D,some high school,free/reduced,none,27,34,32
365,male,group C,some college,standard,none,59,60,58
368,male,group C,bachelor's degree,free/reduced,none,61,66,61
369,female,group A,some high school,free/reduced,none,44,64,58
370,female,group D,some high school,standard,none,73,84,85
371,male,group E,some college,standard,none,84,77,71
373,male,group D,some high school,standard,none,74,74,72
375,female,group D,bachelor's degree,standard,none,59,70,73
376,male,group E,associate's degree,free/reduced,none,46,43,41
377,female,group D,some high school,standard,none,80,90,82
379,female,group A,some high school,standard,none,71,83,77
380,male,group A,bachelor's degree,standard,none,66,64,62
381,female,group B,associate's degree,standard,none,80,86,83
383,male,group C,master's degree,free/reduced,none,79,81,71
384,female,group E,some high school,free/reduced,none,38,49,45
385,female,group A,some high school,free/reduced,none,38,43,43
386,female,group E,some college,standard,none,67,76,75
387,female,group E,bachelor's degree,standard,none,64,73,70
388,female,group C,associate's degree,free/reduced,none,57,78,67
389,female,group D,high school,standard,none,62,64,64
390,male,group D,master's degree,standard,none,73,70,75
392,female,group D,some college,standard,none,77,68,77
393,male,group E,some college,standard,none,76,67,67
396,male,group A,high school,free/reduced,none,48,45,41
397,female,group B,high school,free/reduced,none,50,67,63
398,female,group C,associate's degree,standard,none,85,89,95
399,male,group B,some high school,standard,none,74,63,57
400,male,group D,some high school,standard,none,60,59,54
402,male,group A,some college,standard,none,53,43,43
403,female,group A,some college,free/reduced,none,49,65,55
405,female,group C,high school,standard,none,54,59,62
406,female,group C,some high school,standard,none,63,73,68
408,female,group B,associate's degree,standard,none,82,80,77
413,male,group D,associate's degree,standard,none,71,66,60
416,male,group E,high school,standard,none,84,73,69
418,male,group C,associate's degree,standard,none,74,73,67
419,male,group D,some college,standard,none,68,59,62
425,male,group B,some college,free/reduced,none,41,39,34
426,female,group C,some college,free/reduced,none,62,67,62
427,male,group C,bachelor's degree,standard,none,86,83,86
428,male,group C,some high school,free/reduced,none,69,71,65
429,male,group A,some high school,free/reduced,none,65,59,53
430,male,group C,some high school,free/reduced,none,68,63,54
431,male,group C,associate's degree,free/reduced,none,64,66,59
432,female,group C,high school,standard,none,61,72,70
433,male,group C,high school,standard,none,61,56,55
434,female,group A,some high school,free/reduced,none,47,59,50
435,male,group C,some high school,standard,none,73,66,66
437,male,group D,associate's degree,standard,none,75,68,64
438,male,group D,associate's degree,free/reduced,none,75,66,73
439,male,group C,high school,standard,none,70,56,51
442,female,group D,high school,standard,none,78,81,80
443,female,group A,some high school,free/reduced,none,59,73,69
444,female,group B,associate's degree,standard,none,73,83,76
445,male,group A,some high school,free/reduced,none,79,82,73
447,male,group D,some college,free/reduced,none,69,66,60
449,male,group B,high school,standard,none,47,46,42
450,male,group B,associate's degree,standard,none,81,73,72
452,female,group E,some college,standard,none,100,92,97
453,female,group C,associate's degree,free/reduced,none,65,77,74
454,male,group C,some college,free/reduced,none,65,58,49
455,female,group C,associate's degree,free/reduced,none,53,61,62
456,male,group C,bachelor's degree,free/reduced,none,37,56,47
457,female,group D,bachelor's degree,standard,none,79,89,89
458,male,group D,associate's degree,free/reduced,none,53,54,48
459,female,group E,bachelor's degree,standard,none,100,100,100
461,male,group C,bachelor's degree,free/reduced,none,53,58,55
462,male,group B,some college,free/reduced,none,54,54,45
463,female,group E,some college,standard,none,71,70,76
464,female,group C,some college,free/reduced,none,77,90,91
466,female,group C,some college,standard,none,84,87,91
467,female,group D,associate's degree,free/reduced,none,26,31,38
470,male,group C,some college,standard,none,91,74,76
472,female,group C,high school,standard,none,63,69,74
474,female,group D,some high school,standard,none,59,67,61
478,male,group D,associate's degree,standard,none,80,68,72
479,female,group D,master's degree,standard,none,55,64,70
480,male,group E,associate's degree,standard,none,76,71,67
482,female,group D,associate's degree,free/reduced,none,52,59,56
483,male,group C,some college,free/reduced,none,68,68,61
484,male,group A,high school,standard,none,59,52,46
485,female,group B,associate's degree,standard,none,49,52,54
486,male,group C,high school,standard,none,70,74,71
487,male,group D,some college,free/reduced,none,61,47,56
488,female,group C,associate's degree,free/reduced,none,60,75,74
491,female,group A,associate's degree,free/reduced,none,65,85,76
492,female,group C,associate's degree,standard,none,64,64,70
493,female,group C,some college,standard,none,83,83,90
494,female,group C,bachelor's degree,standard,none,81,88,90
495,female,group B,high school,standard,none,54,64,68
497,female,group C,some college,standard,none,54,48,52
499,female,group B,some high school,standard,none,66,69,68
500,male,group E,some college,standard,none,76,71,72
501,female,group D,master's degree,standard,none,74,79,82
503,male,group C,some college,free/reduced,none,63,61,54
505,female,group D,master's degree,free/reduced,none,40,59,54
506,female,group B,some high school,standard,none,82,82,80
507,male,group A,high school,standard,none,68,70,66
508,male,group B,bachelor's degree,free/reduced,none,55,59,54
509,male,group C,master's degree,standard,none,79,78,77
510,female,group C,bachelor's degree,standard,none,86,92,87
511,male,group D,some college,standard,none,76,71,73
512,male,group A,some high school,standard,none,64,50,43
513,male,group D,some high school,free/reduced,none,62,49,52
517,female,group D,some college,standard,none,74,89,84
521,male,group D,some college,standard,none,71,49,52
522,female,group C,associate's degree,standard,none,91,86,84
523,male,group D,bachelor's degree,standard,none,69,58,57
524,male,group C,master's degree,free/reduced,none,54,59,50
526,male,group E,some college,standard,none,68,60,59
528,female,group C,high school,free/reduced,none,36,53,43
529,female,group D,bachelor's degree,free/reduced,none,29,41,47
530,female,group C,associate's degree,standard,none,62,74,70
532,female,group C,some high school,standard,none,47,54,53
538,female,group D,high school,standard,none,51,66,62
543,female,group C,associate's degree,standard,none,81,77,79
544,female,group D,associate's degree,standard,none,82,95,89
545,female,group D,master's degree,standard,none,64,63,66
549,female,group C,high school,free/reduced,none,62,67,64
550,male,group C,master's degree,standard,none,79,72,69
551,male,group C,some high school,free/reduced,none,79,76,65
553,female,group B,associate's degree,standard,none,40,48,50
554,male,group D,some college,free/reduced,none,77,62,64
555,male,group E,associate's degree,standard,none,53,45,40
556,female,group C,some college,free/reduced,none,32,39,33
558,male,group C,master's degree,free/reduced,none,61,67,66
559,female,group B,associate's degree,free/reduced,none,53,70,70
560,male,group D,some high school,standard,none,73,66,62
562,female,group C,some college,standard,none,63,74,74
565,male,group B,bachelor's degree,free/reduced,none,48,51,46
566,male,group B,associate's degree,standard,none,48,43,45
569,male,group B,high school,free/reduced,none,63,48,47
570,male,group D,bachelor's degree,free/reduced,none,68,68,67
572,male,group A,bachelor's degree,standard,none,91,96,92
573,female,group C,some college,standard,none,53,62,56
575,female,group E,high school,standard,none,74,81,71
578,female,group B,high school,standard,none,81,91,89
580,female,group D,master's degree,standard,none,53,61,68
581,female,group D,some high school,standard,none,81,97,96
582,female,group E,some high school,standard,none,77,79,80
583,female,group D,bachelor's degree,free/reduced,none,63,73,78
585,female,group D,some college,standard,none,69,77,77
586,female,group C,associate's degree,standard,none,65,76,76
587,female,group A,high school,standard,none,55,73,73
588,female,group C,bachelor's degree,free/reduced,none,44,63,62
589,female,group C,some college,standard,none,54,64,65
590,female,group A,some high school,standard,none,48,66,65
591,male,group C,some college,free/reduced,none,58,57,54
592,male,group A,some high school,standard,none,71,62,50
593,male,group E,bachelor's degree,standard,none,68,68,64
594,female,group E,high school,standard,none,74,76,73
597,male,group B,high school,free/reduced,none,30,24,15
598,male,group A,some high school,standard,none,53,54,48
599,female,group D,high school,standard,none,69,77,73
600,female,group D,some high school,standard,none,65,82,81
601,female,group D,master's degree,standard,none,54,60,63
602,female,group C,high school,standard,none,29,29,30
603,female,group E,some college,standard,none,76,78,80
604,male,group D,high school,free/reduced,none,60,57,51
606,male,group C,some high school,standard,none,75,72,62
607,female,group C,associate's degree,standard,none,85,84,82
608,female,group C,master's degree,free/reduced,none,40,58,54
609,female,group E,some college,standard,none,61,64,62
610,female,group B,associate's degree,standard,none,58,63,65
612,female,group C,some college,standard,none,58,59,66
614,female,group C,associate's degree,standard,none,65,77,74
615,female,group A,associate's degree,standard,none,82,93,93
616,female,group C,high school,standard,none,60,68,72
617,female,group E,bachelor's degree,standard,none,37,45,38
618,male,group D,bachelor's degree,standard,none,88,78,83
619,male,group D,master's degree,standard,none,95,81,84
621,female,group C,high school,free/reduced,none,35,61,54
622,male,group B,bachelor's degree,free/reduced,none,62,63,56
625,female,group E,bachelor's degree,free/reduced,none,61,58,62
628,male,group D,associate's degree,standard,none,61,48,46
629,male,group D,some college,free/reduced,none,49,57,46
631,male,group D,some college,standard,none,67,64,70
632,male,group B,high school,standard,none,79,60,65
634,female,group C,high school,standard,none,75,88,85
635,male,group D,some high school,standard,none,84,84,80
636,male,group A,high school,standard,none,71,74,64
639,male,group E,some college,standard,none,86,76,74
640,female,group D,associate's degree,standard,none,76,74,73
641,male,group D,high school,standard,none,41,52,51
643,female,group B,some high school,free/reduced,none,72,81,79
645,male,group B,high school,standard,none,70,65,60
647,female,group D,associate's degree,standard,none,59,70,65
648,female,group E,high school,free/reduced,none,64,62,68
649,female,group B,high school,standard,none,50,53,55
655,female,group B,some high school,standard,none,73,79,79
656,female,group B,some college,standard,none,62,67,67
657,male,group C,associate's degree,free/reduced,none,77,67,64
658,male,group D,some high school,standard,none,69,66,61
659,female,group D,associate's degree,free/reduced,none,43,60,58
660,male,group D,associate's degree,standard,none,90,87,85
661,male,group C,some college,free/reduced,none,74,77,73
662,male,group C,some high school,standard,none,73,66,63
663,female,group D,some college,free/reduced,none,55,71,69
664,female,group C,high school,standard,none,65,69,67
665,male,group D,associate's degree,standard,none,80,63,63
668,female,group B,bachelor's degree,free/reduced,none,77,85,87
669,male,group C,some college,standard,none,73,74,61
671,female,group C,high school,free/reduced,none,66,76,68
672,male,group D,associate's degree,free/reduced,none,52,57,50
673,female,group C,some college,standard,none,69,78,76
679,male,group D,associate's degree,free/reduced,none,81,75,78
680,male,group D,some college,free/reduced,none,63,61,60
681,female,group D,high school,standard,none,67,72,74
682,male,group B,high school,standard,none,60,68,60
683,male,group B,high school,standard,none,62,55,54
688,male,group D,associate's degree,free/reduced,none,77,78,73
689,male,group A,high school,free/reduced,none,53,58,44
690,male,group E,some college,free/reduced,none,93,90,83
691,female,group C,associate's degree,standard,none,49,53,53
692,female,group E,associate's degree,free/reduced,none,73,76,78
694,female,group D,associate's degree,standard,none,77,77,73
695,female,group C,some high school,standard,none,49,63,56
696,female,group D,some college,free/reduced,none,79,89,86
698,female,group A,bachelor's degree,standard,none,59,72,70
700,male,group C,high school,free/reduced,none,66,66,59
702,female,group B,some high school,standard,none,57,67,72
704,female,group D,some college,standard,none,63,64,67
706,male,group A,bachelor's degree,free/reduced,none,62,72,65
707,male,group D,high school,standard,none,46,34,36
708,male,group C,some college,standard,none,66,59,52
709,male,group D,high school,standard,none,89,87,79
713,female,group D,some college,standard,none,98,100,99
714,male,group D,master's degree,standard,none,81,81,84
719,female,group C,high school,standard,none,76,76,74
721,female,group C,some college,free/reduced,none,62,72,70
724,male,group C,high school,standard,none,50,48,42
725,male,group B,some college,standard,none,47,43,41
729,female,group D,high school,free/reduced,none,73,92,84
730,male,group C,some college,standard,none,53,39,37
732,male,group A,some high school,free/reduced,none,55,46,43
734,male,group D,some high school,standard,none,55,47,44
735,female,group E,some college,free/reduced,none,53,58,57
736,male,group C,master's degree,standard,none,67,57,59
737,male,group C,associate's degree,standard,none,92,79,84
739,male,group D,associate's degree,standard,none,81,71,73
740,male,group C,high school,free/reduced,none,61,60,55
741,male,group D,bachelor's degree,standard,none,80,73,72
742,female,group A,associate's degree,free/reduced,none,37,57,56
743,female,group C,high school,standard,none,81,84,82
745,male,group B,some college,free/reduced,none,55,55,47
746,male,group D,associate's degree,standard,none,72,79,74
747,male,group D,high school,standard,none,69,75,71
748,male,group C,some college,standard,none,69,64,68
749,female,group C,bachelor's degree,free/reduced,none,50,60,59
752,male,group E,some college,standard,none,68,72,65
755,male,group C,associate's degree,free/reduced,none,58,55,53
756,female,group E,associate's degree,standard,none,84,95,92
757,male,group D,some college,standard,none,55,58,52
761,female,group C,high school,free/reduced,none,53,72,64
762,female,group D,some high school,standard,none,48,58,54
764,female,group B,high school,standard,none,62,62,63
765,male,group D,some college,standard,none,60,63,59
766,female,group B,high school,standard,none,74,72,72
769,female,group D,some high school,standard,none,68,71,75
770,male,group A,some college,free/reduced,none,58,60,57
771,male,group B,high school,standard,none,52,48,49
772,male,group D,bachelor's degree,standard,none,75,73,74
774,female,group C,bachelor's degree,free/reduced,none,62,78,79
775,male,group B,some college,standard,none,66,65,60
776,female,group B,some high school,free/reduced,none,49,58,55
777,female,group B,high school,standard,none,66,72,70
778,female,group C,some college,free/reduced,none,35,44,43
781,female,group D,associate's degree,free/reduced,none,46,56,57
782,female,group B,master's degree,standard,none,77,90,84
787,female,group E,some high school,free/reduced,none,72,79,77
788,female,group B,some college,standard,none,19,38,32
789,male,group C,associate's degree,free/reduced,none,68,65,61
790,female,group C,master's degree,free/reduced,none,52,65,61
791,female,group B,high school,standard,none,48,62,60
792,female,group D,some college,free/reduced,none,60,66,70
793,male,group D,high school,free/reduced,none,66,74,69
795,female,group B,high school,standard,none,42,52,51
797,male,group D,high school,standard,none,70,70,70
798,female,group E,associate's degree,free/reduced,none,70,84,81
799,male,group E,some college,standard,none,69,60,54
800,female,group C,associate's degree,standard,none,52,55,57
803,female,group E,associate's degree,standard,none,87,94,95
804,female,group B,some college,standard,none,82,85,87
805,female,group C,some college,standard,none,73,76,78
806,male,group A,some college,free/reduced,none,75,81,74
807,female,group D,some college,free/reduced,none,64,74,75
808,female,group E,high school,free/reduced,none,41,45,40
809,male,group C,high school,standard,none,90,75,69
810,male,group B,bachelor's degree,standard,none,59,54,51
811,male,group A,some high school,standard,none,51,31,36
812,male,group A,high school,free/reduced,none,45,47,49
815,female,group C,high school,standard,none,72,80,83
817,female,group A,bachelor's degree,standard,none,45,59,64
819,female,group B,high school,free/reduced,none,60,72,68
820,female,group C,some high school,standard,none,77,91,88
822,female,group D,bachelor's degree,free/reduced,none,78,90,93
824,female,group B,high school,free/reduced,none,71,87,82
825,female,group C,some high school,free/reduced,none,48,58,52
826,male,group C,high school,standard,none,62,67,58
828,female,group C,some high school,standard,none,65,69,76
830,male,group B,some high school,standard,none,68,54,53
831,female,group A,some college,free/reduced,none,61,60,57
833,male,group A,bachelor's degree,standard,none,64,60,58
835,male,group B,some college,standard,none,58,50,45
837,male,group E,high school,standard,none,73,64,57
840,female,group C,associate's degree,standard,none,66,77,73
841,female,group D,high school,free/reduced,none,39,52,46
842,male,group C,some high school,standard,none,64,58,51
846,male,group E,master's degree,standard,none,90,85,84
848,male,group D,high school,standard,none,64,54,50
849,female,group C,high school,standard,none,59,72,68
850,male,group D,associate's degree,standard,none,80,75,69
851,male,group C,master's degree,standard,none,71,67,67
852,female,group A,high school,standard,none,61,68,63
853,female,group E,some college,standard,none,87,85,93
854,male,group E,some high school,standard,none,82,67,61
855,male,group C,some high school,standard,none,62,64,55
856,female,group B,bachelor's degree,standard,none,97,97,96
857,male,group B,some college,free/reduced,none,75,68,65
858,female,group C,bachelor's degree,standard,none,65,79,81
860,male,group C,associate's degree,free/reduced,none,87,73,72
861,female,group C,associate's degree,standard,none,53,62,53
862,female,group E,master's degree,free/reduced,none,81,86,87
865,male,group C,associate's degree,standard,none,97,93,91
867,male,group C,high school,free/reduced,none,59,53,52
868,male,group B,associate's degree,standard,none,61,42,41
870,male,group C,associate's degree,free/reduced,none,49,51,51
871,male,group B,high school,standard,none,59,58,47
874,male,group E,associate's degree,free/reduced,none,90,90,82
875,female,group C,bachelor's degree,free/reduced,none,43,62,61
876,male,group C,some college,free/reduced,none,80,64,66
877,male,group D,some college,standard,none,81,82,84
878,male,group C,some high school,standard,none,57,61,54
879,female,group D,some high school,standard,none,59,72,80
880,female,group D,associate's degree,standard,none,64,76,74
883,female,group B,high school,free/reduced,none,64,73,71
884,male,group D,bachelor's degree,free/reduced,none,55,46,44
885,female,group E,associate's degree,standard,none,51,51,54
888,male,group C,high school,free/reduced,none,54,72,59
889,female,group D,some college,free/reduced,none,69,65,74
890,male,group D,high school,free/reduced,none,44,51,48
892,female,group E,associate's degree,standard,none,85,92,85
893,female,group A,master's degree,free/reduced,none,50,67,73
895,female,group E,associate's degree,standard,none,59,62,69
896,female,group E,some high school,free/reduced,none,32,34,38
897,male,group B,high school,free/reduced,none,36,29,27
901,male,group D,master's degree,standard,none,85,84,89
902,female,group C,master's degree,standard,none,73,78,74
905,female,group D,some high school,free/reduced,none,67,84,84
906,male,group D,some college,standard,none,88,77,77
907,male,group B,high school,standard,none,57,48,51
909,female,group C,bachelor's degree,free/reduced,none,67,75,72
911,male,group D,bachelor's degree,free/reduced,none,50,42,48
912,female,group A,some college,standard,none,69,84,82
915,female,group B,associate's degree,free/reduced,none,46,61,55
